nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,CLDN18.2,MSI-H/dMMR,PD-L1_CPS,EBV,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT04999761,AB122 Platform Study,PHASE1,Phase 1,RECRUITING,917,"Taiho Pharmaceutical Co., Ltd.",Taiho,86,1,0,multi_experimental,18,ab122,ab122;ab154;bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;nab-paclitaxel;ramucirumab;tas-115;tas-116;tas-120;trifluridine/tipiracil,PD-1,Monoclonal Antibody,KRAS;MET;PD-L1,1,1,0,0,0,1,0,1,1,1,PD-L1+,metastatic · 1st-line · adenoca.
NCT05002127,A Study of Evorpacept (ALX148) in Patients With Advanced HER2+ Gastric Cancer (ASPEN-06),PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,127,ALX Oncology Inc.,ALX Oncology,8,1,1,active_comparator,4,paclitaxel;ramucirumab;trastuzumab,evorpacept (alx148);paclitaxel;ramucirumab;trastuzumab,CD47,Monoclonal Antibody,HER2,1,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca.
NCT05005403,"Study to Assess Adverse Events and Pharmacokinetics in Adult Participants With Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma and Other Solid Tumors, Receiving Intravenous Infusion of Azirkitug Alone or in Combination(s) With Budigalimab, Bevacizumab, or Telisotuzumab Adizutecan",PHASE1,Phase 1,RECRUITING,694,AbbVie,AbbVie,274,1,1,multi_experimental,17,azirkitug,azirkitug;bevacizumab;budigalimab;telisotuzumab adizutecan,PD-1,Monoclonal Antibody,BRAF;HER2;MSI;MSI-H;PD-L1,1,1,1,0,1,1,0,1,0,1,"HER2+, MSI-H/dMMR, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05029882,Study to Assess Adverse Events and Change in Disease Activity in Adult Participants With Advanced Solid Tumors Receiving Intravenous (IV) ABBV-400 as Monotherapy and in Combination With IV Bevacizumab,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,520,AbbVie,AbbVie,274,1,1,multi_experimental,12,,abbv-400;bevacizumab;trifluridine/tipiracil,EGFR,ADC,BRAF;HER2;MET;MSI;MSI-H;dMMR,1,1,1,0,1,0,0,0,0,1,"HER2+, MSI-H/dMMR",metastatic · adenoca. · measurable (RECIST)
NCT05034887,"Phase 2 Study of Trastuzumab Deruxtecan in the Neoadjuvant Treatment, or Trastuzumab Deruxtecan Plus Capecitabine Plus Durvalumab(MEDI4736) in the Preoperative and Postoperative Adjuvant Treatment for Patients With HER2 Positive Gastric and Gastroesophageal Junction Adenocarcinoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,National Cancer Center Hospital East,National Cancer Center Hospital East,10,0,1,multi_experimental,2,,durvalumab and capecitabine combination;t-dxd;trastuzumab deruxtecan (t-dxd) monotherapy,HER2,ADC,HER2,1,1,1,0,0,0,0,1,0,1,HER2+,recurrent · 1st-line · adenoca.
NCT05057013,A Phase I/IIa Trial of HMBD-001 in Advanced HER3 Positive Solid Tumours,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,81,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,,hmbd-001;hmbd-001 and enzalutamide,HER3,Monoclonal Antibody,HER3,1,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca.
NCT05075993,Study of LVGN3616 and LVGN6051±LVGN7409 in Combination With Nab-Paclitaxel or Bevacizumab and Cyclophosphamide in Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,352,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,4,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,,,PD-L1;molecular profiling,0,1,0,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,0,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05128487,A Study of NDI 1150-101 in Patients With Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,106,"Nimbus Saturn, Inc.",Nimbus Saturn,1,1,0,multi_experimental,2,ndi-101150,ndi-101150;pembrolizumab,PD-1,Small Molecule,PD-L1;PSLP76,0,1,0,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05143970,A Phase 1 First-In-Human Study of the Anti-CD73 IPH5301 Alone or in Combination With Chemotherapy and Trastuzumab in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,27,Institut Paoli-Calmettes,Institut Paoli-Calmettes,12,0,0,single_arm,1,iph5301 alone or in combination with chemotherapy and trastuzumab,iph5301 alone or in combination with chemotherapy and trastuzumab,CD73,Monoclonal Antibody,ER;HER2;MET;PD-L1;PR,1,1,1,0,0,1,0,1,1,1,"HER2+, PD-L1+",metastatic · 1st-line · ductal · measurable (RECIST)
NCT05144854,A Study to Evaluate the Efficacy and Safety of ONO-4538 in Combination With Ipilimumab and Chemotherapy in Chemotherapy-naïve Participants With HER2-negative Unresectable Advanced or Recurrent Gastric Cancer (Including Esophagogastric Junction Cancer),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,626,"Ono Pharmaceutical Co., Ltd.",Ono Pharmaceutical,44,1,0,active_comparator,2,capecitabine;oxaliplatin;s-1,capecitabine;ipilimumab;ono-4538;oxaliplatin;s-1,CTLA-4,Monoclonal Antibody,HER2,1,1,0,0,0,0,0,0,0,0,,unresectable · adenoca.
NCT05152147,A Study of Zanidatamab in Combination With Chemotherapy Plus or Minus Tislelizumab in Patients With HER2-positive Advanced or Metastatic Gastric and Esophageal Cancers,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,920,Jazz Pharmaceuticals,Jazz Pharmaceuticals,59,1,0,active_comparator,3,capecitabine;cisplatin;fluorouracil;oxaliplatin;trastuzumab,capecitabine;cisplatin;fluorouracil;oxaliplatin;tislelizumab;zanidatamab,HER2,Bispecific Antibody,HER2;PD-L1,1,1,1,0,0,1,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca. · measurable (RECIST)
NCT05156866,First in Human Study of TORL-2-307-ADC in Participants With Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,163,"TORL Biotherapeutics, LLC",TORL Biotherapeutics,8,1,0,multi_experimental,2,torl-2-307-adc,torl-2-307-adc,CLDN18.2,ADC,CLDN18.2;HER2,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05159440,First in Human Study of TORL-2-307-MAB in Participants With Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,"TORL Biotherapeutics, LLC",TORL Biotherapeutics,8,1,0,multi_experimental,2,torl-2-307-mab,torl-2-307-mab,CLDN18.2,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05177133,Anti-PD-1 and CapOx for the First-line Treatment of dMMR Esophagogastric Cancer (AuspiCiOus),PHASE2,Phase 2,RECRUITING,25,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),19,0,0,single_arm,1,capecitabine;oxaliplatin;retifanlimab,capecitabine;oxaliplatin;retifanlimab,PD-1,Monoclonal Antibody,HER2;MMR;PD-L1;dMMR,1,1,1,0,1,0,0,0,1,1,"HER2+, MSI-H/dMMR",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05187182,CA-4948 in Combination With FOLFOX/PD-1 Inhibitor +/- Trastuzumab for Untreated Unresectable Gastric and Esophageal Cancer,PHASE1,Phase 1,RECRUITING,42,Washington University School of Medicine,Washington University School of Medicine,178,0,0,multi_experimental,3,ca-4948;mfolfox7,ca-4948;mfolfox7;nivolumab;pembrolizumab;trastuzumab,IRAK-4,Small Molecule,HER2,0,1,1,0,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT05190445,Cinrebafusp Alfa in Combination With Ramucirumab and Paclitaxel in HER2-High Gastric or GEJ Adenocarcinoma and in Combination With Tucatinib in HER2-Low Gastric or GEJ Andenocarinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,80,"Pieris Pharmaceuticals, Inc.",Pieris Pharmaceuticals,4,1,0,multi_experimental,2,,cinrebafusp alfa (prs-343) in combination with ramucirumab and paclitaxel;cinrebafusp alfa (prs-343) in combination with tucatinib,HER2,Bispecific Antibody,HER2,1,1,1,0,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT05205330,"Vorbipiprant (CR6086) / Balstilimab (AGEN2034) Combination in Stage IV Refractory pMMR - MSS CRC, and Other Metastatic GI Cancers",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,107,Rottapharm Biotech,Rottapharm Biotech,1,1,0,multi_experimental,5,agen2034;cr6086,agen2034;cr6086,PTGER4,Small Molecule,BRAF;MMR-PROFICIENT;MSI-STABLE;PD-L1,0,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT05208762,A Study of PF-08046054/SGN-PDL1V in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,714,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,2,pf-08046054,pembrolizumab;pf-08046054,PD-L1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,0,,metastatic
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05239143,P-MUC1C-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,180,"Poseida Therapeutics, Inc.",Poseida Therapeutics,6,1,0,multi_experimental,8,p-muc1c-allo1 car-t cells;rimiducid,p-muc1c-allo1 car-t cells;rimiducid,MUC1,CAR-T,MUC1,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05274048,Neratinib and Fam-Trastuzumab Deruxtecan in Advanced Gastro-esophageal Cancer Patients,PHASE1,Phase 1,RECRUITING,18,Fox Chase Cancer Center,Fox Chase Cancer Center,34,0,0,single_arm,1,fam-trastuzumab deruxtecan-nxki (tdxd);neratinib pill,fam-trastuzumab deruxtecan-nxki (tdxd);neratinib pill,HER2,Small Molecule,HER2,0,1,1,0,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT05365581,"A Study of ASP2138 Given by Itself or Given With Other Cancer Treatments in Adults With Stomach Cancer, Gastroesophageal Junction Cancer, or Pancreatic Cancer",PHASE1,Phase 1,RECRUITING,398,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,multi_experimental,10,asp2138,asp2138;capecitabine;fluorouracil;irinotecan;leucovorin;oxaliplatin;paclitaxel;pembrolizumab;ramucirumab,CLDN18.2,Monoclonal Antibody,CLDN18.2;HER2;PD-L1,1,1,1,1,0,1,0,1,1,1,"HER2−, CLDN18.2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05382364,Safety and Pharmacokinetics of Tucatinib (MK-7119) in Chinese Participants With Cancer (MK-7119-002),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,25,Pfizer,Pfizer,687,1,1,single_arm,1,tucatinib,tucatinib,HER2,Small Molecule,HER2,0,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05427383,KN026 in Combination With Chemotherapy in HER2 Positive Gastric Cancer Subjects Who Have Failed First-line Therapy,PHASE2;PHASE3,Phase 3,RECRUITING,286,Shanghai JMT-Bio Inc.,Shanghai JMT-Bio,33,1,0,multi_experimental,2,docetaxel injection;irinotecan injection;kn026/placbo injection;paclitaxel injection,docetaxel injection;irinotecan injection;kn026/placbo injection;paclitaxel injection,HER2,Monoclonal Antibody,HER2;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,1,0,1,0,1,"HER2+, MSI-H/dMMR, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05427487,Study of Intratumoral IVX037 in Patients With Advanced or Metastatic Solid Tumours,PHASE1,Phase 1,RECRUITING,70,ImmVirx Pty Ltd,ImmVirx Pty,1,1,0,multi_experimental,2,ivx037,ivx037;sintilimab,PD-1,Oncolytic Virus,MMR;MSI;PD-L1,1,1,0,0,1,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05438420,Oral Axl/Mer/CSF1R Selective Tyrosine Kinase Inhibitor Q702 in Combination With Pembrolizumab in Patients With Selected Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,120,"Qurient Co., Ltd.",Qurient,3,1,1,multi_experimental,2,pembrolizumab;q702,pembrolizumab;q702,PD-1,Small Molecule,PD-L1,0,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT05438459,GAIA-102 Intraperitoneal Administration in Patients With Advanced Gastrointestinal Cancer of Microsatellite Stable With Malignant Ascites,PHASE1;PHASE2,Phase 2,RECRUITING,176,Kyushu University,Kyushu University,1,0,0,active_comparator,6,calcium levofolinate hydrate;fluorouracil;irinotecan hydrochloride hydrate;trifluridine/tipiracil hydrochloride (ftd/tpi),calcium levofolinate hydrate;fluorouracil;gaia-102;irinotecan hydrochloride hydrate;pembrolizumab,PD-1,Monoclonal Antibody,MMR;MSI;MSI-H,1,1,1,0,1,0,0,0,1,1,"HER2−, MSI-H/dMMR",metastatic · 2nd-line+ · adenoca.
NCT05447234,TCRx_T Cells for Advanced or Recurrent Gastric/Gastroesophageal Junction Cancer After Failure of First Chemotherapy,EARLY_PHASE1,Phase 1,NOT_YET_RECRUITING,50,"Second Affiliated Hospital, Zhejiang University, School of Medicine","Second Affiliated Hospital, Zhejiang University, School of Medicine",12,0,0,single_arm,1,tcrx t cell,tcrx t cell,,,,0,1,0,0,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT05476796,"Oxaliplatin ± Nivolumab in Combination With Trifluridine/Tipiracil or 5-fluorouracile in Frail Patients With Advanced, Recurrent or Metastatic Gastric, Oesophageal or Gastroesophageal Junction Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,118,UNICANCER,UNICANCER,64,0,1,active_comparator,2,FOLFOX;nivolumab,nivolumab;oxaliplatin;trifluridine/tipiracil,PD-1,Monoclonal Antibody,CD30;HER2;MMR;MSI;PD-L1;dMMR,1,1,1,0,1,1,0,0,0,1,"HER2+, MSI-H/dMMR, PD-L1+",metastatic · adenoca. · measurable (RECIST) · ECOG 2
NCT05480384,Adjuvant Trastuzumab Deruxtecan (Enhertu) & Nivolumab For Patients Who Are Disease Free After Completion of Trimodality Treatment For HER-2+ Cancers of Esophagus & Gastroesophageal Junction,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1,Brown University,Brown University,22,0,1,multi_experimental,3,nivolumab;trastuzumab deruxtecan,nivolumab;trastuzumab deruxtecan,PD-1,Monoclonal Antibody,CD30;HER2,1,1,1,0,0,0,0,0,0,1,HER2+,adenoca.
NCT05482516,Evaluating Novel Therapies in ctDNA Positive GI Cancers,PHASE3,Phase 3,RECRUITING,20,Georgetown University,Georgetown University,55,0,1,single_arm,1,atezolizumab;bevacizumab,atezolizumab;bevacizumab,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB,1,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT05482893,"Spevatamig (PT886) as Monotherapy or in Combination With Chemo and/or ICI, for the Treatment of Patients With Advanced Gastric, Gastroesophageal Junction, Pancreatic Ductal or Biliary Tract Carcinomas (the TWINPEAK Study)",PHASE1;PHASE2,Phase 2,RECRUITING,258,Phanes Therapeutics,Phanes Therapeutics,3,1,1,multi_experimental,4,spevatamig (pt886),CAPOX;FOLFIRINOX;FOLFOX;gemcitabine;keytruda (pembrolizumab);nab-paclitaxel;paclitaxel;spevatamig (pt886),,Bispecific Antibody,CLDN18.2;HER2;biomarker,1,1,1,1,0,0,0,0,1,1,"HER2+, CLDN18.2+",metastatic · 2nd-line+ · measurable (RECIST)
NCT05483491,"KK-LC-1 TCR-T Cell Therapy for Gastric, Breast, Cervical, and Lung Cancer",PHASE1,Phase 1,RECRUITING,30,Christian Hinrichs,Christian Hinrichs,3,0,0,single_arm,1,aldesleukin;kk-lc-1 tcr-t cells,aldesleukin;kk-lc-1 tcr-t cells,KK-LC-1,CAR-T,KK-LC-1;genomic,1,1,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05489211,Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03),PHASE2,Phase 2,RECRUITING,454,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,datopotamab deruxtecan (dato-dxd),bevacizumab;capecitabine;carboplatin;cisplatin;datopotamab deruxtecan (dato-dxd);fluorouracil;prednisone/ prednisolone;rilvegostomig;volrustomig,VEGF/VEGFR,Monoclonal Antibody,TROP2;genomic,1,1,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT05494060,XELOX Combined With Anlotinib and Penpulimab vs XELOX as Adjuvant Therapy in ctDNA Positive Gastric and Esophagogastric Junction Adenocarcinoma,PHASE2,Phase 2,RECRUITING,80,The First Affiliated Hospital with Nanjing Medical University,The First Affiliated Hospital with Nanjing Medical University,30,0,0,active_comparator,2,CAPOX,CAPOX;anlotinib hydrochloride capsule;penpulimab injection,VEGF/VEGFR,Small Molecule,MET,0,1,0,0,0,0,0,0,0,0,,metastatic
NCT05539430,"Claudin 18.2-Targeted Chimeric Antigen Receptor T-cells in Subjects With Unresectable, Locally Advanced, or Metastatic Gastric, Gastroesophageal Junction (GEJ), Esophageal, or Pancreatic Adenocarcinoma",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,56,Legend Biotech USA Inc,Johnson & Johnson,363,1,0,single_arm,1,lb1908,lb1908,CLDN18.2,CAR-T,CLDN18.2;HER2;PR,1,1,1,1,0,0,0,1,1,1,"HER2+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05581004,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of Enzelkitug as a Single Agent and in Combination With Checkpoint Inhibitor in Participants With Locally Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,165,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,4,enzelkitug,atezolizumab;enzelkitug;pembrolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,1,0,0,1,EBV+,metastatic · measurable (RECIST)
NCT05620134,Study of JK08 in Patients with Unresectable Locally Advanced or Metastatic Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,263,Salubris Biotherapeutics Inc,Salubris Biotherapeutics,2,1,0,multi_experimental,4,jk08,jk08;lenvatinib pill;pembrolizumab,CTLA-4,Monoclonal Antibody,ER;HER2;PR;genomic,1,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05632939,"ASKB589 in Combination With CAPOX and PD-1 Inhibitors in Patients With Advanced, and Unresectable G/GEJ Cancer.",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,62,"AskGene Pharma, Inc.",AskGene Pharma,4,1,0,single_arm,1,askb589 +capox+sintilimab/tislelizumab,askb589 +capox+sintilimab/tislelizumab,HER2,ADC,CLDN18.2;HER2,1,1,0,1,0,0,0,1,0,1,CLDN18.2+,metastatic · 1st-line · adenoca.
NCT05671822,Ph1b/2 Study of the Safety and Efficacy of SHR-A1811 Combinations in Advanced HER2 Expression Gastric Cancer,PHASE2,Phase 2,RECRUITING,258,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,86,1,0,multi_experimental,12,,and 5-fu;and capecitabine;and oxaliplatin;capecitabine;shr-1316;shr-1316 and shr-a1811;shr-1701;shr-a181;shr-a1811;shr-a1811 and capecitabine;shr-a1811 and shr-1701;shr-a1811and 5-fu,HER2,ADC,HER2,1,1,1,0,0,0,0,1,0,1,HER2+,metastatic · 1st-line · adenoca. · ECOG 0-1
NCT05702229,Novel Combinations in Participants With Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma,PHASE2,Phase 2,RECRUITING,163,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,,CAPOX;FOLFOX;azd0901;capecitabine;fluorouracil;rilvegostomig;volrustomig,CLDN18.2,ADC,CLDN18.2;HER2,1,1,1,1,0,0,0,1,0,1,"HER2+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT05733689,Response Adapted Neoadjuvant Therapy in Gastroesophageal Cancers (RANT-GC Trial),PHASE1,Phase 1,RECRUITING,20,"University of California, Irvine","University of California, Irvine",22,0,0,single_arm,1,FLOT;FOLFIRI;FOLFIRINOX;FOLFOX;docetaxel and irinotecan (alone or combined);durvalumab;nivolumab (alone or when added to a regimen above);paclitaxel with or without carboplatin;pembrolizumab (alone or when added to a regimen above);trastuzumab,FLOT;FOLFIRI;FOLFIRINOX;FOLFOX;docetaxel and irinotecan (alone or combined);durvalumab;nivolumab (alone or when added to a regimen above);paclitaxel with or without carboplatin;pembrolizumab (alone or when added to a regimen above);trastuzumab,PD-L1,Monoclonal Antibody,EGFR,1,1,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT05768932,BAL0891 in Patients With Advanced Solid Tumors or Relapsed or Refractory Acute Myeloid Leukemia,PHASE1,Phase 1,RECRUITING,260,"SillaJen, Inc.",SillaJen,3,1,0,multi_experimental,8,bal0891,bal0891;paclitaxel;tislelizumab,TTK,Small Molecule,BRAF;ER;HER2;KRAS;MET;PIK3CA;PTEN,0,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0
NCT05771584,"Therapeutic Cancer Vaccine (AST-301, pNGVL3-hICD) in Gastric Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Aston Sci. Inc.,Aston Sci.,4,1,0,multi_experimental,2,ast-301;rhugm-csf,ast-301;rhugm-csf,HER2,mRNA,HER2,0,1,1,0,0,0,0,0,0,1,HER2+,adjuvant
NCT05789069,A Study of HFB200603 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,83,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200603,hfb200603;tislelizumab,BTLA,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT05858736,"Safety, PK and Efficacy of AI-061 in Advanced Solid Tumors",PHASE1,Phase 1,COMPLETED,18,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,ai-061,ai-061,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT05872295,IKS014 in Advanced Solid Tumors That Express HER2,PHASE1,Phase 1,RECRUITING,165,Iksuda Therapeutics Ltd.,Iksuda Therapeutics,3,1,0,multi_experimental,6,iks014,iks014,HER2,ADC,HER2,1,1,1,0,0,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca.
NCT05891171,Study of AB598 Monotherapy and Combination Therapy in Participants With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,40,"Arcus Biosciences, Inc.",Arcus Biosciences,21,1,0,multi_experimental,8,ab598,ab598;fluorouracil;leucovorin;oxaliplatin;zimberelimab,CD39,Monoclonal Antibody,HER2,1,1,1,0,0,0,0,0,0,1,HER2−,metastatic · adenoca. · measurable (RECIST)
NCT05944237,HTL0039732 in Participants With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,150,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,3,,htl0039732 capsules;htl0039732 capsules and atezolizumab infusion,PD-L1,,HER2;PD-L1;genomic,0,1,1,0,0,1,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT05945823,Phase 2 Futibatinib in Combination With PD-1 Antibody Based Standard of Care in Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,53,"Taiho Oncology, Inc.",Taiho,86,1,0,multi_experimental,2,fluorouracil;futibatinib;leucovorin;oxaliplatin;pembrolizumab,cisplatin;fluorouracil;futibatinib;irinotecan;leucovorin;oxaliplatin;pembrolizumab,FGFR2,Small Molecule,FGFR2;PD-L1,0,1,0,0,0,1,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT05980481,A Study of RC48-ADC Combination Therapies as First-line Treatment in Advanced Metastatic Gastric Cancer,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,201,"RemeGen Co., Ltd.",RemeGen,51,1,0,active_comparator,8,capecitabine（;oxaliplatin（;toripalimab;trastuzumab,capecitabine（;oxaliplatin（;rc48-adc（2.;toripalimab;trastuzumab,HER2,ADC,HER2,1,1,1,0,0,0,0,1,0,1,HER2+,metastatic · 1st-line · adenoca.
